"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type","saved_to_database","scrape_timestamp","total_scraped","total_saved","total_failed","total_skipped"
"in-9fb100c6901da842","indeed","https://hk.indeed.com/viewjob?jk=9fb100c6901da842","https://www.ctgoodjobs.hk/jbt/09862466/indeed/9187/?utm_content=09862466&utm_source=jobfeed&utm_medium=organic&utm_campaign=indeed_feed","AI Engineer / Senior AI Engineer (4 - 5 openings) | Leading ICT, Prestige FSI","Venturenix Limited","HK","2025-11-17","fulltime","","","","","",False,"","","","","We are helping 2 clients to look for AI and Senior AI Engineers.
  
A leading ICT company and a prestige Financial institutions are looking for 4 \\- 5 AI engineers / Senior AI Engineers.
  
Our team is passionate about building intelligent applications that transform industries. If you love solving complex problems and creating impactful AI\\-driven products, we want you on our team!
  
  

**Responsibilities:**  

Design, develop, and deploy AI\\-powered applications end\\-to\\-end.
  
  

Work on automation workflows , AI integrations , and custom solutions using cutting\\-edge tools.
  
  

Collaborate with cross\\-functional teams to deliver scalable, high\\-performance AI systems.
  
  

Explore and implement LLM frameworks , prompt engineering , and workflow orchestration .
  
  

Who We’re Looking For Junior AI Engineer (0–1 years) \\- 2 openings
  
  

**Education:** Bachelor’s in Computer Science, Computer Engineering, AI, or related discipline.
  
  

**Academic Excellence:** GPA 3\\.2 or above .
  
  

Strong experience in hackathons , coding contests , or building AI apps during university.
  
  

Proficient in Python and familiar with AI frameworks. Senior AI Engineer (2–5 years) \\- 2 \\- 3 openings
  
  

Proven experience in AI application development and automation workflows .
  
  

Hands\\-on with Dify , n8n , LangChain , LangGraph , and Python .
  
  

Strong skills in JavaScript / Node.js for building full\\-stack apps integrated with AI.
  
  

Ability to deliver end\\-to\\-end AI solutions from concept to deployment.
  
Preferred Skills for All Roles
  
  

Experience with LLM\\-based applications , prompt engineering , and API integrations .
  
  

Familiarity with cloud platforms (AWS, Azure, GCP) and DevOps practices .
  
  

Strong problem\\-solving mindset and ability to work in fast\\-paced environments.
  
  

Good communications in Cantonese and English.
  
  

All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.
  
  

Full\\-time","","https://hk.indeed.com/cmp/Venturenix-Limited","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/1e7cb63c2fdd0ea21554eaa885cadc8f","","Hong Kong","11 to 50","","","","","","","","","Unknown","20251117_184257",84,60,0,24
"in-539906917bc5e161","indeed","https://hk.indeed.com/viewjob?jk=539906917bc5e161","https://jobs.lever.co/seedify-fund/df68e139-3907-4426-a2a8-4a29ce5dd3ad?lever-source=Indeed","Senior Solana Blockchain Engineer","Seedify","Remote, HK","2025-11-12","fulltime","","","","","",True,"","","","","Seedify is a leading Web3 Gaming Incubator and Launchpad for Web3 projects focusing on innovative technologies such as DeFi, AI, Big Data, NFTs, and Web3 Gaming. By staking $SFUND, you gain the advantage of early access to purchase project tokens, enhancing your position within the Web3 landscape. Our industry encompasses Crypto, Gaming, IDOs, and INOs. We operate as a highly\\-driven and fast\\-paced startup, we embrace a remote work culture, allowing our team to collaborate from anywhere in the world.  

We’re looking for an experienced **Senior Solana Blockchain Developer** who will play a key role in building next\\-generation decentralized applications across Solana and other leading blockchain ecosystems (Ethereum, Base, BNB Chain, Polygon, Avalanche, etc).You will lead the design, implementation, and maintenance of smart contracts and blockchain integrations that power core business logic, ensuring security, scalability, and performance across multiple networks. **Smart Contract Architecture \\& Development*** Design, develop, and deploy Solana smart contracts using Rust and Anchor framework.
* Write Solidity or Vyper contracts for cross\\-chain integrations or Ethereum\\-compatible deployments (ETH, Base, BNB Chain, Polygon, Avalanche).
* Develop and optimize programs for tokenomics models (staking, liquidity, farming, IDOs, etc.) with a focus on gas efficiency, security, and modularity.
* Implement and maintain token standards including:
* Solana SPL tokens
* ERC20, ERC721, ERC1155, ERC4626

 **Blockchain Integrations \\& Infrastructure*** Work with Web3 libraries such as ethers.js, web3\\.js, or @solana/web3\\.js to integrate smart contracts with backend and frontend systems.
* Build and maintain cross\\-chain bridges, indexing pipelines, and transaction monitoring services.
* Collaborate with DevOps to automate smart contract deployment pipelines and RPC infrastructure.

 **Backend \\& System Development*** Develop backend APIs and services using TypeScript / Node.js (Express, NestJS, or Fastify).
* Integrate blockchain logic with backend microservices, databases (PostgreSQL, MongoDB, Redis), and caching layers.
* Ensure strong observability and fault\\-tolerance (logs, monitoring, error recovery).

 **Quality, Security \\& Testing*** Conduct code reviews, enforce security best practices, and ensure contracts are audit\\-ready.
* Implement unit, integration, and fuzz tests for both on\\-chain and off\\-chain components
* Collaborate with auditors during formal security reviews and implement recommended remediations.

 **Tech Stack:****Languages**: Rust, TypeScript, Solidity (or Vyper)**Frameworks**: Anchor (Solana), Hardhat / Foundry (EVM)**Web3 Libraries**: @solana/web3\\.js, ethers.js, web3\\.js**Backend**: Node.js, Express / NestJS, PostgreSQL / MongoDB / Redis**Testing**: Jest, Mocha, Anchor test suite, Chai**Infrastructure**: Docker, GitHub Actions, Alchemy / QuickNode / RPC providers**Monitoring**: NewRelic, Sentry **Requirements:****Experience**: 3\\-5\\+ years of experience in Solana blockchain development and other major blockchains like ETH, Base, BNB/BSC, Polygon, Avalanche, etc.
Proven experience with at least one **EVM\\-compatible blockchain** (Ethereum, BNB Chain, Polygon, Avalanche, etc).
Strong background in **backend engineering** using **TypeScript/****Node.js**.
Interest on Web3 ecosystem, wallets \\& transactions, IDOs \\& ICOs, DeFi (staking, farming, liquidity pools), omnichain.
Experience integrating smart contracts into **production\\-grade** **systems**.
Proven track record of **mentoring engineers**, conducting code reviews, and leading technical discussions.
Excellent problem\\-solving and communication skills in a **remote, async environment**.  



We may use artificial intelligence (AI) tools to support parts of the hiring process, such as reviewing applications, analyzing resumes, or assessing responses. These tools assist our recruitment team but do not replace human judgment. Final hiring decisions are ultimately made by humans. If you would like more information about how your data is processed, please contact us.","","https://hk.indeed.com/cmp/Seedify","","","","","","","","","","","","","Unknown","20251117_184257",84,60,0,24
"in-8c3f16571eab2da5","indeed","https://hk.indeed.com/viewjob?jk=8c3f16571eab2da5","https://zoolatech.com/vacancies/software-engineer-net-java-other-central-europe-222355-1.html","Software Engineer","Zoolatech","Central, HKI, HK","2025-11-12","","","","","","",False,"","","","","**OVERVIEW**
RESPONSIBILITIES
REQUIREMENTS
Join a leading U.S. fashion and e\\-commerce company serving millions of customers daily across digital and in\\-store channels. Our engineering teams build and scale cloud\\-native, event\\-driven platforms that power real\\-time product, order, and customer experiences.


You’ll work with modern technologies \\- AWS, Kubernetes, Kafka, and Terraform \\- in a collaborative environment that values clean architecture, automation, and continuous improvement. The Software Engineer will be responsible for building mission\\-critical Integrations between source data Mirakl market place product data providers and internal systems.


* Design and implement durable execution workflows using http://Temporal.io in Java (or .NET).
* Develop and maintain orchestration layers for distributed data and API integrations.
* Build and maintain CI/CD pipelines and apply DevOps best practices.
* Design, deploy, and monitor microservices in AWS using Kubernetes and Docker.
* Implement and optimize Kafka\\-based messaging pipelines for real\\-time data processing.
* Collaborate with QA and DevOps to ensure performance, scalability, and fault tolerance.
* Use and enhance testing frameworks such as Cucumber, Gherkin, and Artillery.
* Participate in design and code reviews, mentoring peers on quality and architecture standards.


* Familiarity with Kubernetes.
* Familiarity with relational databases \\- Postgres
* Experience with RESTful architecture and micro\\-services.
* Experience with Kafka
* Experience with cloud\\-based services (AWS)
* Experience with Terraform
* Familiarity with Continuous Integration and Continuous Delivery methodologies and tooling.
* Proficiency with containerization technologies such as Docker
* A deep proficiency of Java
* Excellent communication skills (verbal and written).

**Nice To Have**

* Experience with Temporal Framework https://temporal.io
* Experience with New Relic


Location:


Other, Central Europe
Seniority:


Middle
Technologies:


.Net, Java
Benefits:


* **Paid Vacation**
* **Sick Days**
* **Floating Holidays**
* **Sport/Insurance Compensation**
* **English Classes**
* **Charity**
* **Training Compensation**","","https://hk.indeed.com/cmp/Zoolatech","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/bb445447282690f31e0a9991f3ccd74a","http://zoolatech.com","USA
2100 Geng Road, Suite 210
Palo Alto, CA 94303

","201 to 500","$25M to $100M (USD)","We are an IT company that combines an extensive technology stack, flexibility, and charity projects. We are free from bureaucracy, and we share the idea of digital transformation.","","","","","","","Unknown","20251117_184257",84,60,0,24
"in-3b163739ef18bf08","indeed","https://hk.indeed.com/viewjob?jk=3b163739ef18bf08","https://recruiting.ultipro.com/ALC1004TELCO/JobBoard/e3a8eb11-96c0-4968-9120-a910524a61db/OpportunityDetail?opportunityId=c60ec9ab-fe9b-48c1-a08a-377377a261ab&postingId=1c146a22-a5cc-4954-a8ec-ab48f0f21ff7","Senior Systems Engineer","Alchemy Telco Solutions Asia Limited","Kwun Tong, KOW, HK","2025-11-12","fulltime","","","","","",True,"","","","","As a globally distributed and cloud\\-first business, many of the tasks can be done remotely; however  

there will be a need to attend site as required. If you are based near one of our actual sites, you will
  

be required to be onsite at least 2 days per week to stay connected to our business.
  

* To provide operational support across Alchemy’s estate of devices, network infrastructure,

and end user computing related cloud services including health checks and reporting.  

* Diagnose and resolve faults in physical and cloud\\-based services and infrastructure supported

by the Systems Engineering team  

* Take ownership of configuring and maintaining Alchemy’s Physical and virtual network

infrastructure, including LAN, WAN and Telephony  

* Maintain the Security integrity the Systems Engineering service portfolio including patching,

automated vulnerability assessments, Firewalls, software Security suites and MDM  

* Proactively educate Alchemists, instilling a security first mindset through the use of our

automated phishing and exploit awareness toolsets
  

* Support Alchemists in become as self\\-sufficient as possible by providing self\\-service tools, and

creating knowledge base articles to improve incident and event resolution efficiency  

* Manage events, incidents, problems, requests and changes in line with ITIL best practice, ensuring that SLA's are maintained
* Act as a cross\\-media Point of Resolution for all Systems Engineering issues
* Analyse and measure your services with standardised global metrics to develop, communicate and action continual process and technology improvements
* Work without continuous supervision and be trusted to provide professional support services

to your fellow Alchemists  

* Provide proactive monitoring and management of Systems Engineering services to your fellow Alchemists
* Manage, respond to and resolve all End User based incidents and events
* Install, configure and manage End User Devices and Applications
* Work to proactively prevent Security threats to your service portfolio, End User Devices and Applications. Should any occur, immediately respond effectively to and contain those IT Security threats and incidents
* Maintaining agreed SLA levels, assuring quality of delivery at all times
* Ordering and installation of hardware as required
* Creation of relevant technical diagrams and documentation
* Ensuring that your endpoint fleet and environments adhere to established standards and frameworks, meeting any compliance requirements at all times.
* Input into the design and implementation of new platforms, services and infrastructure including the creation of associated documentation
* Completing internal moves and changes as required
* Set up new sites and locations as required
* Ensure all logs for equipment and users are maintained
* Providing support to Alcehmists whether remotely or in person
* Keeping up to date with industry trends and technology developments
* Identifying and sharing relevant architectural patterns
* Contributing towards creating a culture of metrics and data to drive continuous improvement
* Working closely with Infosec to ensure Security ‘shifts left’
* Collaborating closely with the Engineering teams, promoting a DevOps culture
  

A high degree of technical knowledge and competence  

* Demonstrable ability to troubleshoot complex, technical, multi\\-site and multi\\-discipline incidents and problems
* 2nd/3rd line knowledge of a wide range end user devices including printers, workstations,

tablets, phones, laptops and associated modern operating systems for Windows, Apple, Linux  

* Practical administration experience of SharePoint Online
* Practical administration experience of MS Teams
* Practical experience of deploying and managing MDM services (Intune \\& Jamf)
* Excellent verbal and written English skills are essential
* Excellent working knowledge of Chrome, IE \\& Safari
* Experience of liaising with 3rd party suppliers
* A full driving licence is essential for this role
* Practical use of Service desk tools
* Practical experience of working in teams across multiple geographies and timezones","","https://hk.indeed.com/cmp/Alchemy-Telco-Solutions-Asia-Limited","","","","","","","","","","","","","Unknown","20251117_184257",84,60,0,24
"in-390a0b486b68a83d","indeed","https://hk.indeed.com/viewjob?jk=390a0b486b68a83d","http://hk.indeed.com/job/machine-learning-engineer-ml-ai-projects-5-days-390a0b486b68a83d","Machine Learning Engineer (ML / AI projects) – 5 days","A.I. Pacific Consultants","Kwai Fong, NT, HK","2025-11-12","fulltime","","","","","",False,"","","","","**仕事内容:** 

***Requirements***

* **Bachelor's or advanced degree in Mathematics, Statistics, Computer Science, or a related field.**
* **2 years of hands\\-on experience working on ML/AI projects.**
* Strong understanding of statistical machine learning and deep learning techniques, especially for text, graph, and time\\-series data (e.g., OCR, NLP, sentiment analysis, forecasting).
* Experience with large language models (LLMs) is highly desirable.
* Experience in model management with familiarity in MLflow for tracking, versioning, and deploying machine learning models.
* Experience with CI/CD pipelines and version control systems like Git.
* Proficiency in Power BI for creating actionable visualizations.
* Familiarity with major cloud platforms (e.g., Azure DevOps, Databricks, or Data Factory) is a plus.

***(Kwai Fong, 5 days work, 9:00am– 5:30pm, Medical, 12\\- 21 days annual leave, 13 months salary)***

**その他:** 

Job Type: Full\\-time

Pay: $33,000\\.00 \\- $35,000\\.00 per month

Supplemental Pay:

* 13th month salary","","https://hk.indeed.com/cmp/A.i.-Pacific-Consultants-1","","","","","","","","","","","","","Unknown","20251117_184257",84,60,0,24
"in-fe64546001e3ca52","indeed","https://hk.indeed.com/viewjob?jk=fe64546001e3ca52","https://zoolatech.com/vacancies/java-software-engineer-java-other-central-europe-222027-1.html","Java Software Engineer","Zoolatech","Central, HKI, HK","2025-11-11","","","","","","",False,"","","","","**OVERVIEW**
RESPONSIBILITIES
REQUIREMENTS
Join a leading premium retail brand, with over 350 stores across the U.S. and Canada and annual revenues exceeding $15 billion. As part of its technology organization, engineers apply scientific, mathematical, and social principles to design, build, and maintain products, devices, systems, and solutions. These innovations enable exceptional customer experiences while fulfilling core business needs. The role carries functional\\-level scope, responsibility, and accountability.


* Design and collaborate with local and partner teams;
* Test all scenarios and confirm to quality standards;
* Identify performance issues; apply knowledge of security coding practices and secure system fundamentals (e.g., cross\\-site scripting, security certificates);
* Demonstrate thorough knowledge of information technology concepts, issues, trends, and best practices as they relate to the discipline/practice;
* Demonstrate advanced knowledge of specific needs of a major line of business and the related set of applications, systems, or functions.


* Be proficient in Java/Spring Boot and comfortable designing and implementing REST/GraphQL services
* Have practical experience with Kubernetes, Kafka, and AWS services
* Understand system design principles and be able to think through integrations with other components or systems

**Core Skills:**

* Cloud: AWS (GCP experience is a plus)
* Backend: Java, Spring Boot
* Databases: MySQL, Aurora DB (or similar relational databases)
* Streaming \\& Messaging: Kafka streaming / REST APIs
* DevOps: GitLab/GitHub, CI/CD pipelines
* Containerization \\& Orchestration: Docker, Kubernetes

**Nice to Have:**

* Familiarity with Confluent Cloud
* Basic knowledge of Python for scripting or tooling


Location:


Other, Central Europe
Seniority:


Middle
Technologies:


Java
Benefits:


* **Paid Vacation**
* **Sick Days**
* **Floating Holidays**
* **Sport/Insurance Compensation**
* **English Classes**
* **Charity**
* **Training Compensation**","","https://hk.indeed.com/cmp/Zoolatech","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/bb445447282690f31e0a9991f3ccd74a","http://zoolatech.com","USA
2100 Geng Road, Suite 210
Palo Alto, CA 94303

","201 to 500","$25M to $100M (USD)","We are an IT company that combines an extensive technology stack, flexibility, and charity projects. We are free from bureaucracy, and we share the idea of digital transformation.","","","","","","","Unknown","20251117_184257",84,60,0,24
"in-1b3525b20ba65725","indeed","https://hk.indeed.com/viewjob?jk=1b3525b20ba65725","https://www.efinancialcareers.hk/jobs-Hong_Kong-Hong_Kong-Data_Engineer_-_Top_Insurance_Firm_4_headcounts.id23397468","Data Engineer - Top Insurance Firm 4 headcounts","Gravitas Recruitment Group","HK","2025-11-10","","","","","","",False,"","","","s.yeung@gravitasgroup.com","Core Responsibilities  

  

  

* **Platform Architecture \\& Development**
	+ Design and implement data platform components, ensuring high availability, scalability, and performance.
	+ Evaluate and integrate appropriate technology stacks, frameworks, and AWS cloud services for data ingestion, storage, and processing.
* **Data Platform Operations \\& Automation**
	+ Build and optimize ETL/ELT pipelines for structured and unstructured data using tools like AWS Glue, Informatica IDMC, Spark, and Python.
	+ Automate workflows using Airflow to reduce manual interventions and improve operational efficiency.
	+ Manage Tech debt effectively by using available resources \\& time.
* **Governance \\& Compliance**
	+ Implement automation for role\\-based access controls, audit logging, and data masking to meet regulatory and security requirements.
	+ Collaborate with governance teams to embed metadata, lineage, and data quality controls across the platform.
* **Release \\& Change Management**
	+ Participate in CAB meetings, assess IT changes, and manage risk for platform upgrades and deployments.
	+ Maintain documentation for runbooks, SOPs, and escalation paths.
* **Performance Tuning \\& Monitoring**
	+ Develop monitoring models for legacy and modern platforms.
	+ Conduct root cause analysis for data ingestion failures and optimize platform performance.
* **Collaboration \\& Leadership**
	+ Provide technical guidance and coaching to engineering teams.
	+ Partner with product owners and architects to align platform capabilities with business needs.
  

  

Required Skills \\& Tools  

  

  

* **Cloud Platforms:** AWS (mandatory), Azure or Ali Cloud (plus).
* **Data Technologies:** Spark, Redshift, Glue, Cloud Watch, Informatica IDMC, Kafka, DMS.
* **Programming:** Python, Airflow, Glue Workflow, SQL.
* **DevOps \\& CI/CD:** Jenkins, Git, containerization (Docker/Kubernetes).
* **Governance Tools:** Starburst(Good to have), Apache Ranger, Microsoft Purview.
* **Soft Skills:** Strong stakeholder management, communication, and ability to work in Agile environments.
  

  

  

Qualifications:  

  

  

* **8\\-10 years of experience in data/platform management or data engineering roles, in the financial services industry,**
* **Minimum 2\\-3 years of experience in insurance industry is strongly preferred.**
* **Fluent in English and Cantonese, with strong communication and stakeholder management skills.**
* **Hands\\-on experience with cloud platforms (AWS, Ali Cloud, Azure) and data platform engineering.**
* **Familiarity with Cloud Operations \\& Practices.**

**Please apply or share your CV to s.yeung@gravitasgroup.com**","","https://hk.indeed.com/cmp/Gravitas-Recruitment-Group","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/f4e06410405ca3f879d5bc082794c684","https://www.gravitasgroup.com/","6 Bevis Marks, 
London EC3A","201 to 500","$100M to $500M (USD)","Gravitas Group is an award winning and leading international recruitment consultancy - with multiple offices across the UK and Asia we are multi-award winning in every division.","","","","","","","Unknown","20251117_184257",84,60,0,24
"in-a044029f3b72dfa8","indeed","https://hk.indeed.com/viewjob?jk=a044029f3b72dfa8","https://zoolatech.com/vacancies/senior-software-engineer-performance-developer-experience-devops-other-central-europe-222001-1.html","Senior Software Engineer – Performance & Developer Experience","Zoolatech","Central, HKI, HK","2025-11-10","","","","","","",False,"","","","","OVERVIEW
RESPONSIBILITIES
REQUIREMENTS
Our client is a well\\-established **U.S. based SaaS company** that provides **property management software** for residential real estate professionals. Their platform is used by thousands of property managers to handle leasing, maintenance, payments, accounting, and communication all in one system.


The engineering team is product\\-driven and mission\\-focused, with a strong culture of **quality, automation, and continuous improvement**. The company operates in a **mature cloud environment**, primarily on **AWS**, and follows modern engineering practices including **microservices, CI/CD, infrastructure as code**, and **observability\\-first operations**.


You’ll be joining a cross\\-functional engineering team focused on **platform scalability and developer enablement**. This team plays a critical role in ensuring the performance, reliability, and productivity of the broader engineering organization by improving system performance, optimizing delivery pipelines, and enhancing internal developer tools.


Your work will directly support the company’s ability to scale its platform, reduce time\\-to\\-market, and maintain a high\\-quality experience for both end users and developers.


* Identify and resolve performance bottlenecks across services, delivery pipelines, and developer workflows to ensure speed, reliability, and scalability
* Improve the developer experience by designing and evolving internal tools, frameworks, and CI/CD workflows that increase team efficiency and reduce friction
* Use Infrastructure as Code (Terraform, CDKTF) to manage and automate CI/CD environments and developer tooling
* Maintain and evolve automated delivery pipelines using tools like GitHub Actions to support smooth, secure deployments
* Implement and maintain observability and monitoring systems (e.g. Prometheus, Grafana, Elastic) to detect and resolve system performance issues proactively
* Define and track SLIs/SLOs to ensure operational excellence and service reliability
* Build automation to reduce manual effort and increase the repeatability of engineering processes
* Participate in on\\-call rotations and support incident response to maintain platform reliability
* Collaborate with product and engineering teams to deliver scalable solutions and promote cross\\-team alignment
* Mentor peers and contribute to internal knowledge sharing through documentation, design reviews, and technical discussions


* **6\\+ years** of experience in software engineering, platform engineering, or DevOps, with a strong focus on performance optimization and developer enablement
* Proficiency in at least one modern programming language (e.g. **Python, Go, Java, or JavaScript**) and a solid understanding of software design principles
* Hands\\-on experience designing, maintaining, and improving **CI/CD pipelines** using tools such as **GitHub Actions, Jenkins, or GitLab CI**
* Practical experience with **Infrastructure as Code** tools like **Terraform** or **CDKTF**, used to support automation and developer environments
* Strong familiarity with **cloud platforms** such as AWS, GCP, or Azure, especially in the context of scalable and observable systems
* Experience implementing and using **monitoring and observability tools** (e.g. **Prometheus, Grafana, Elastic**) to drive performance insights and incident response
* Understanding of **SLIs/SLOs**, system health metrics, and proactive system reliability practices
* A mindset for **automation, efficiency, and continuous improvement**, with the ability to reduce manual work through tooling and scripting
* Strong communication and collaboration skills, including experience mentoring engineers and participating in technical reviews
* Comfortable working in cross\\-functional teams and taking ownership of platform\\-wide initiatives


* Experience with **Docker**, **Kubernetes**, or cloud\\-native architecture
* Familiarity with **networking**, distributed systems, and performance tuning
* Exposure to **profiling tools** or **APM solutions** for system analysis
* Background in building **internal developer tools** or platform services
* Contributions to **open\\-source** or internal engineering initiatives


Location:


Other, Central Europe
Seniority:


Senior
Technologies:


Devops
Benefits:


* **Paid Vacation**
* **Sick Days**
* **Floating Holidays**
* **Sport/Insurance Compensation**
* **English Classes**
* **Charity**
* **Training Compensation**","","https://hk.indeed.com/cmp/Zoolatech","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/bb445447282690f31e0a9991f3ccd74a","http://zoolatech.com","USA
2100 Geng Road, Suite 210
Palo Alto, CA 94303

","201 to 500","$25M to $100M (USD)","We are an IT company that combines an extensive technology stack, flexibility, and charity projects. We are free from bureaucracy, and we share the idea of digital transformation.","","","","","","","Unknown","20251117_184257",84,60,0,24
"in-7062359c8c6bcd7d","indeed","https://hk.indeed.com/viewjob?jk=7062359c8c6bcd7d","http://hk.indeed.com/job/data-engineer-7062359c8c6bcd7d","Data Engineer","A.I. Pacific Consultants","Tsuen Wan, NT, HK","2025-11-10","fulltime","","","","","",True,"","","","","**Requirements:**

* **Degree in Data Science, Statistics, Computer Science or a related field.**
* Min. 2 years IT experiences in data migration or data pipelines projects.
* Exposure to containerization/orchestration (Docker, Kubernetes).
* Experience of statistical analysis, Linux system, Pyspark, Git and SQL.
* Knowledge of ETL tools such as Apache Airflow, DBT.
* Familiarity with one of the major cloud platforms Azure (Devops, Databricks, or Data Factory) is a plus.

**Salary: 32 \\- 33K**

**(Tsuen Wan, Monday – Friday, 9:00am – 5:30pm, Medical, 13 months salary, 12 \\- 21 days annual leave)**

工作類型: 全職, 長工

薪酬： $32,000\\.00至$33,000\\.00（每月）

福利：

* 有薪年假
* 有薪病假
* 晉升機會
* 醫療保險

Work Location: Hybrid remote in Tsuen Wan","","https://hk.indeed.com/cmp/A.i.-Pacific-Consultants","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3dc2db76d957845dca078b68f496fa07","","","","","","","","","","","","Unknown","20251117_184257",84,60,0,24
"in-a7808e72213c9fb8","indeed","https://hk.indeed.com/viewjob?jk=a7808e72213c9fb8","https://www.ctgoodjobs.hk/jbt/09847964/indeed/9187/?utm_content=09847964&utm_source=jobfeed&utm_medium=organic&utm_campaign=indeed_feed","Devops Engineer","AsiaPay (HK) Ltd","HK","2025-11-08","fulltime","","","","","",False,"","","","","**Responsibilities:**  

Work with container technologies like Docker and Kubernetes. Manage containerized applications, deployments, scaling, and networking.
  
  

Implement and maintain monitoring and logging solutions. Automate tasks and processes using scripting
  
  

Work closely with development, infrastructure and operations teams to foster a collaborative DevOps culture.
  
  

Identify, diagnose, and resolve infrastructure and application issues in a timely manner.
  
  

Effectively communicate and work with local and regional team members.
  
  

Conduct necessary technical research and study. Prepare technical and support documentation.
  
  

**Requirements:**  

Degree holder in IT, Computer Science, or related disciplines
  
  

3\\+ years of experience in DevOps.
  
  

Specialized in AWS and EKS.
  
  

Experience with Terraform, CI/CD tools, Jenkins, and Gitlab.
  
  

Familiar with Dockers, Kubernetes, Istio, Kafka, and microservices based applications.
  
  

Strong scripting skills and experience with configuration management tools.
  
  

Familiar with networking and security best practices.
  
  

Knowledge and experience in online payment, fintech application or ecommerce system is an advantage.
  
  

Good communication skills in English and Chinese.
  
  

We offer attractive remuneration to the right person with fast track career development opportunities and fringe benefits. Interested parties please apply with detailed resume, including both current and expected salary . Able to send your cv by email to \\[email redacted, apply via Company website]
  
  

Personal data collected will be used for recruitment purpose only. Applicants who are not contacted within 4 weeks should consider their application unsuccessful and will be filed for opportunities in future.
  
https://www.asiapay.com/privacy.html
  
  

All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.
  
  

Full\\-time","","https://hk.indeed.com/cmp/Asiapay-(hk)-Ltd","","","","","","","","","","","","","Unknown","20251117_184257",84,60,0,24
