Index,Original_Row_Index,TITLE,COMPANY,COMPANY_URL,JOB_DESCRIPTION,REQUIREMENT,LOCATION,SALARY,URL,Data source,Posted_Date,Retrieved_Date,Application_Type
1,0,Associate Business Analyst (Software Development and Implementation),Million Tech,https://milliontech.com/,"Participate in IT system implementation projects and system maintenance & support services for customers in enterprises and government departments. Capture requirements from business users and IT staff, participate in system testing, monitor testing progress, resolve issues, coordinate project activities, and deliver project documentation.","Higher Diploma / Degree in Business, Computer Science, Information Systems, or related fields; self-initiative, fast learner, responsible, able to work independently; at least 1 year of experience in software implementation projects; proficiency in Cantonese and written English; familiarity with Excel, Word, PowerPoint is an advantage; fresh graduates are welcome.","KOW, HK",Not specified,https://hk.indeed.com/viewjob?jk=5f740a721f3a7c91,indeed,10/11/2025,Not specified,"Send resume to hr@milliontech.com with Employer Ref. No., current & expected salaries, and available date"
2,1,AI- BI Analyst (Legal Department),Johnson Electric,https://hk.indeed.com/cmp/Johnson-Electric-bc39ae51,"Successful candidate will join as part of the digital transformation for the Legal Department function. Responsible for analyzing and interpreting large datasets to identify trends, patterns, and insights that inform optimization strategies. Key duties include collecting and analyzing legal operations data, applying machine learning algorithms, developing data visualizations and automated workflows, integrating with legal and compliance systems, digitizing workflows via agentic systems, collaborating with cross-functional teams, conducting statistical analysis, and staying current with legal tech trends.","Preferred degree in Business, Economics, Data Sciences, or Project Management. Bachelor’s or certification in Data Analysis, Machine Learning, Statistics, or related field. 1-2 years of experience in data analysis or machine learning. Strong skills in data analysis, machine learning, and visualization. Proficiency in Python, R, or SQL. Experience with Tableau or Power BI. Familiarity with Azure or AWS cloud-based AI platforms. Knowledge of TensorFlow or PyTorch. Excellent communication, collaboration, and independent work skills.",Hong Kong,Not specified,https://hk.indeed.com/viewjob?jk=658263828d2a0e79,indeed,10/11/2025,Not specified,Not specified
3,2,Office Admin Assistant,Acuzio Visual Technology Engineering Co. Limited,https://hk.indeed.com/cmp/Acuzio-Visual-Technology-Engineering-Co.-Limited,"Join Acuzio Visual Technology Engineering Co. Limited as an Office Admin Assistant. In this full-time role, you will be based in Mong Kok, Yau Tsim Mong District, supporting the smooth running of business operations by providing administrative support, maintaining records, assisting with procurement, managing visitors and calls, and contributing to overall office efficiency.",Previous experience in office administration or support; strong organisational and time management skills; excellent communication and interpersonal abilities; proficiency in Microsoft Office Suite; proactive and flexible attitude with willingness to learn.,"Mong Kok, Hong Kong",Not specified,https://hk.indeed.com/viewjob?jk=04798d01732d7c90,indeed,10/11/2025,Not specified,Online through Indeed system
5,4,Business Analyst (1-year Contract),AXA,https://hk.indeed.com/cmp/AXA,"Assist and participate in project tasks, elicit and gather requirements, deal with different parties, understand business requirements, review functional specifications, define testing scopes/scenarios. Suggest effective solutions for the project team. Lead and support system testing, coordinate, plan and participate in User Acceptance Testing (UAT) and Implementation Verification Testing (IVT). Prepare regular and ad-hoc reports and analysis. Support production fixes, communicate with stakeholders, understand system behaviors, and correct data.","University graduate in Information System, Computer Science, Mathematics, Statistics or related discipline. At least 2 years of working experience in insurance or banking industry; experience in business requirement gathering, functional specification review, and UAT execution is an advantage. Strong analytical, problem-solving, and organizational skills. Logical, detail-oriented, and numerically sensitive. Team player with good communication skills. Proficient in MS Word, MS Excel, MS Access, SQL; VBA proficiency is a plus. Good command of spoken and written English and Chinese. Candidates with less experience may be considered as Assistant Business Analyst.","Wong Chuk Hang, HKI, HK",Not specified,https://hk.indeed.com/viewjob?jk=baca44e84f14faa6,indeed,10/11/2025,Not specified,Not specified
6,5,Business Analyst,KLN Logistics (Hong Kong) Limited,https://hk.indeed.com/cmp/Kln-Logistics-(hong-Kong)-Limited,"KLN Logistics (Hong Kong) Limited is seeking a Business Analyst to collect and analyze customer and user requirements, translate them into system specifications, work with an offshore development team on project implementations, provide ongoing support and maintenance for PO and vendor management applications, prepare test cases, document testing results, and conduct user training post-implementation.","University graduate in Computer Science with at least 4 years of relevant experience; experience in freight forwarding, supply chain, and PO, vendor, and project management preferred; practical experience in SQL, EDI data mapping, and application design & development; self-motivated with strong analytical, problem-solving, and presentation skills; global mindset with international exposure preferred; proficient in written and spoken English and Mandarin; candidates with more experience may be considered for a senior position.","Kwai Tsing District / Kwai Chung, HK",Not specified,https://hk.indeed.com/viewjob?jk=8b5a73cdec65007c,indeed,10/11/2025,Not specified,Apply via the Indeed website or visit KLN Company Webpage to submit CV with present and expected salary to Human Resources & Administration Department
8,7,"Officer to Manager (Regtech Project Management and Data Analysis), Administration and Systems",Industrial and Commercial Bank of China (ICBC),https://hk.indeed.com/cmp/Industrial-and-Commercial-Bank-of-China-(icbc),"Lead the Regtech project related to financial crime compliance. Oversee the FCC systems and data models related to AML, anti-fraud and sanctions, proposing optimization suggestions to improve the efficiency and effectiveness of FCC system. Use data science analysis to work with advanced Regtech tools for anti-money laundering (AML), anti-fraud and sanction control measures. Lead the management of FCC data. Keep improving data strategies, ensure CDD/KYC data is accurate and high-quality. Train staff on how to use FCC systems, tools, and understand data. Handle ad-hoc project/task assigned by Team Head.","University degree in computer science, math, statistics or finance. At least 2 years of experience in IT project management or data analysis. AML certifications (e.g. CAMS or AAMLP) are preferable. Good presentation and writing skill in both Chinese and English. Strong sense of teamwork and responsibility.",HK,Not specified,https://hk.indeed.com/viewjob?jk=9764ec62a1513579,indeed,09/11/2025,Not specified,Please submit your resume to hrd@icbcasia.com
9,8,System & Database Administrator (Deputy IT Manager / IT Manager),Industrial and Commercial Bank of China (ICBC),https://hk.indeed.com/cmp/Industrial-and-Commercial-Bank-of-China-(icbc),"Supervise all kinds of system and database administration works; Responsible for System HA/DR infrastructure design, implementation and maintenance; Deploy, manage and troubleshoot on servers, storages and databases; Perform system administration, monitoring and capacity management; Study and deploy the latest technology to ensure system reliabilities, performance, and security; Understand and satisfy Cyber Security requirements; Leading team members to fulfill routine and project requirements; Prepare and maintain IT policy, procedure and working manual; Perform other ad-hoc duties as assigned.","Supervise all kinds of system and database administration works; Responsible for System HA/DR infrastructure design, implementation and maintenance; Deploy, manage and troubleshoot on servers, storages and databases; Perform system administration, monitoring and capacity management; Study and deploy the latest technology to ensure system reliabilities, performance, and security; Understand and satisfy Cyber Security requirements; Leading team members to fulfill routine and project requirements; Prepare and maintain IT policy, procedure and working manual; Perform other ad-hoc duties as assigned.",HK,Not specified,https://hk.indeed.com/viewjob?jk=2d3774b0aaa45e19,indeed,09/11/2025,Not specified,Please submit your resume to hrd@icbcasia.com
10,9,Business Analyst,Forida Limited,https://hk.indeed.com/cmp/Forida-Limited,"Forida Limited, established in 1993, provides CAD/GIS/BIM solutions and services to the AEC industry. The company specializes in Building Information Modelling (BIM), spatial information for facilities management, BIM standards, mentorship, system customization, and development. This role involves planning and managing business analysis, acting as a liaison between business and technology teams, defining business processes, and translating needs into functional requirements and user stories.","Degree in Information Management, Computer Science, Information Technology, Business or related area; 2-3 years of experience as a business analyst with proven ability to manage large and strategic IT projects; experience in a consulting environment is highly desirable; knowledge of Agile and Scrum methodologies; excellent communication and writing skills in English and Cantonese; less experienced candidates may be considered as Project Coordinator.","Lai Chi Kok, HK",Not specified,https://hk.indeed.com/viewjob?jk=28902b665755e731,indeed,09/11/2025,Not specified,Apply via “Quick Apply” or company website
11,10,Business Analyst,Meta Air Labs Limited,https://hk.indeed.com/cmp/Meta-Air-Labs-Limited,"Meta Air Labs Limited is a Blockchain as a Solutions (BaaS) Service Provider based in Hong Kong. We develop innovative blockchain applications, offer payment gateway solutions, etc. We are now looking for a talented calibre to join our cohesive team. You are expected to identify business needs, analyse processes and recommend solutions, through gather requirements, create reports, and collaborate with teams to optimise workflows and achieve objectives. If you are passionate about blockchain technology and want to grow your footprint on it. APPLY NOW ! Translate business needs into clear specification and provide solutions. Translate product requirements into technical specification as the guidelines for the teams. Conduct data analysis, present the findings and deliver actionable insights to the management and stakeholders. Conduct gap analysis to identify the gaps between current performance and the desired performance, and create an action plan. Execute user acceptance testing including test planning, execution, and defect management. Collaborate closely with internal (Project, IT, QA teams) and external (Business Users, Vendors) stakeholders to ensure smooth delivery of the product. Prepare and maintain documentations as needed. Perform ad hoc duties assigned by supervisor or manager.","Degree holder in Business Management, IT or related disciplines. At least 5 years in product development or business analysis or system analysis experiences. Proficiency in business process mapping, data analysis and reporting. Knowledge of Agile methodologies and tools such as Jira and Confluence. Strong business analysis skills on requirement gathering and documentation. Strong analytical and problem-solving skills with the ability to understand complex business challenges. Proficiency in spoken and written English, Cantonese, and Mandarin.","Tsimshatsui, HK",Not specified,https://hk.indeed.com/viewjob?jk=c9a14f2a0,Not specified,Not specified,Not specified,Not specified
12,11,Junior Data Service Specialist,Aquis Search,https://hk.indeed.com/cmp/Aquis-Search,"Lead the construction and optimization of the company’s data platform, including the design of data architecture and data flow. Oversee the company’s data disclosure efforts, providing data support services to customers, regulatory agencies, business departments, and third-party platforms. Manage the collection, organization, analysis, and maintenance of product and market-related data to ensure its accuracy and timeliness. Conduct data quality inspections, identifying and correcting data issues promptly.","Master’s degree or higher is mandatory from a reputable domestic or international university, preferably in mathematics, statistics, computer science, or business analytics. 1 to 3 years of industry experience gained from a mutual fund or other asset managers is essential. Proficiency in Python and SQL is mandatory, along with excellent data analysis and processing skills in tools such as Excel. Strong analytical thinking, rigorous logic, meticulous attention to detail, a strong sense of responsibility, and keen data insight. Exceptional ability to learn quickly, communicate effectively, coordinate tasks, and implement projects successfully.","Hong Kong, HK",Not specified,https://hk.indeed.com/viewjob?jk=ebdf97642aad5155,indeed,07/11/2025,Not specified,Not specified
